Gene_ID	source_id	Product_Description	Genomic_Length
LAMA_000008800	LAMA_000008800.1	Piezo non-specific cation channel, R-Ras-binding domain containing protein, putative	5595
LAMA_000008900	LAMA_000008900.1	DNA polymerase family A, putative	2793
LAMA_000009000	LAMA_000009000.1	NLI interacting factor-like phosphatase, putative	1077
LAMA_000009100	LAMA_000009100.1	hypothetical protein, conserved	279
LAMA_000009200	LAMA_000009200.1	EF hand/EF-hand domain/EF-hand domain pair/Cytoskeletal-regulatory complex EF hand, putative	450
LAMA_000009300:pseudogene	LAMA_000009300.1	hypothetical protein, conserved	919
LAMA_000009400:pseudogene	LAMA_000009400.1	Glycosyl hydrolases family 32 N-terminal domain containing protein, putative	1308
LAMA_000009500	LAMA_000009500.1	ABC transporter, putative	1264
LAMA_000009600:pseudogene	LAMA_000009600.1	hypothetical protein, conserved	999
LAMA_000009700	LAMA_000009700.1	Paraflagellar rod protein, putative	1745
LAMA_000009800	LAMA_000009800.1	hypothetical protein, conserved	2103
LAMA_000009900	LAMA_000009900.1	OsmC-like protein, putative	1080
LAMA_000010000	LAMA_000010000.1	hypothetical protein, conserved	1356
LAMA_000010100	LAMA_000010100.1	FYVE zinc finger containing protein, putative	768
LAMA_000010200	LAMA_000010200.1	hypothetical protein, conserved	798
LAMA_000010300	LAMA_000010300.1	RNA recognition motif. a.k.a. RRM, RBD, or RNP domain, putative	2343
LAMA_000010400	LAMA_000010400.1	hypothetical protein, conserved	1983
LAMA_000010500	LAMA_000010500.1	Sugar and other transporter/Major Facilitator Superfamily, putative	1059
LAMA_000010600	LAMA_000010600.1	Fatty acid desaturase, putative	970
LAMA_000010700:pseudogene	LAMA_000010700.1	hypothetical protein	388
LAMA_000010800	LAMA_000010800.1	hypothetical protein, conserved	1683
LAMA_000010900	LAMA_000010900.1	hypothetical protein, conserved	2076
LAMA_000011000	LAMA_000011000.1	hypothetical protein, conserved	2982
LAMA_000011100	LAMA_000011100.1	hypothetical protein, conserved	1368
LAMA_000011200	LAMA_000011200.1	ATP synthase, Delta/Epsilon chain, beta-sandwich domain containing protein, putative	546
LAMA_000011300:pseudogene	LAMA_000011300.1	hypothetical protein, conserved	1440
LAMA_000011400	LAMA_000011400.1	Major Facilitator Superfamily, putative	2181
LAMA_000011500	LAMA_000011500.1	WD domain, G-beta repeat/Eukaryotic translation initiation factor eIF2A, putative	939
LAMA_000011600	LAMA_000011600.1	hypothetical protein, conserved	2886
LAMA_000011700	LAMA_000011700.1	Clathrin adaptor complex small chain, putative	501
LAMA_000011800	LAMA_000011800.1	DEAD/DEAH box helicase/Helicase conserved C-terminal domain/RecQ zinc-binding/HRDC domain containing protein, putative	5061
LAMA_000011900	LAMA_000011900.1	ERCC4 domain containing protein, putative	3444
LAMA_000012000	LAMA_000012000.1	Translationally controlled tumour protein, putative	513
LAMA_000012100	LAMA_000012100.1	WD domain, G-beta repeat, putative	1308
LAMA_000012200:pseudogene	LAMA_000012200.1	SNF2 family N-terminal domain/Type III restriction enzyme, res subunit/Helicase conserved C-terminal domain containing protein, putative	2715
LAMA_000012300	LAMA_000012300.1	Protein kinase domain/Protein tyrosine kinase, putative	1752
LAMA_000012400	LAMA_000012400.1	hypothetical protein, conserved	3153
LAMA_000012500	LAMA_000012500.1	UAA transporter family, putative	2889
LAMA_000012600	LAMA_000012600.1	Glycosyltransferase family 10 fucosyltransferase C-term, putative	1257
LAMA_000012700	LAMA_000012700.1	3 exoribonuclease family, domain 1, putative	975
LAMA_000012800	LAMA_000012800.1	Soluble NSF attachment protein, SNAP, putative	2010
LAMA_000012900	LAMA_000012900.1	WD domain, G-beta repeat/BING4CT NUC141 domain containing protein, putative	2043
LAMA_000013000	LAMA_000013000.1	ATPase family associated with various cellular activities AAA/Peptidase family M41, putative	2160
LAMA_000013100:pseudogene	LAMA_000013100.1	hypothetical protein, conserved	1140
LAMA_000013200	LAMA_000013200.1	rRNA processing, putative	573
LAMA_000013300:pseudogene	LAMA_000013300.1	hypothetical protein	571
LAMA_000013400	LAMA_000013400.1	impB/mucB/samB family, putative	2235
LAMA_000013500	LAMA_000013500.1	M17 aminopeptidase N-terminal domain 2, putative	767
LAMA_000013600	LAMA_000013600.1	Ribosomal protein S7p/S5e, putative	573
LAMA_000013700	LAMA_000013700.1	hypothetical protein, conserved	1140
LAMA_000013800	LAMA_000013800:ncRNA	unspecified product	68
LAMA_000013900	LAMA_000013900.1	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain/Acetohydroxy acid isomeroreductase, NADPH-binding domain/NAD binding domain of 6-phosphogluconate dehydrogenase, putative	830
LAMA_000014000	LAMA_000014000.1	hypothetical protein	1011
LAMA_000014100:pseudogene	LAMA_000014100.1	Amastin surface glycoprotein, putative	681
LAMA_000014200	LAMA_000014200.1	Tubulin/FtsZ family, GTPase domain/Tubulin C-terminal domain containing protein, putative	1386
LAMA_000014300	LAMA_000014300.1	hypothetical protein, conserved	618
LAMA_000014400	LAMA_000014400.1	hypothetical protein	494
LAMA_000014500:pseudogene	LAMA_000014500.1	Alpha-kinase family, putative	1009
LAMA_000014600	LAMA_000014600.1	NADP-binding Rossmann-like domain/Flavin containing amine oxidoreductase, putative	1479
LAMA_000014700	LAMA_000014700.1	Activator of Hsp90 ATPase, N-terminal/Activator of Hsp90 ATPase homolog 1-like protein, putative	1059
LAMA_000014800	LAMA_000014800.1	RNA recognition motif. a.k.a. RRM, RBD, or RNP domain, putative	1230
LAMA_000014900	LAMA_000014900.1	hypothetical protein, conserved	897
LAMA_000015000	LAMA_000015000.1	hypothetical protein, conserved	1215
LAMA_000015100	LAMA_000015100.1	hypothetical protein, conserved	435
LAMA_000015200	LAMA_000015200.1	hypothetical protein, conserved	357
LAMA_000015300	LAMA_000015300.1	hypothetical protein, conserved	3168
LAMA_000015400	LAMA_000015400.1	hypothetical protein, conserved	1086
LAMA_000015500:pseudogene	LAMA_000015500.1	Elongation factor Tu domain 2/Elongation factor Tu C-terminal domain containing protein, putative	651
LAMA_000015600	LAMA_000015600.1	UTP--glucose-1-phosphate uridylyltransferase, putative	1683
LAMA_000015700	LAMA_000015700.1	hypothetical protein, conserved	2035
LAMA_000015800	LAMA_000015800.1	Radial spokehead-like protein, putative	960
LAMA_000015900	LAMA_000015900.1	Histone-binding protein RBBP4 or subunit C of CAF1 complex/WD domain, G-beta repeat, putative	1947
LAMA_000016000	LAMA_000016000.1	Gamma tubulin complex component C-terminal, putative	2352
LAMA_000016100	LAMA_000016100.1	Cullin protein neddylation domain containing protein, putative	5727
LAMA_000016200	LAMA_000016200.1	Dipeptidyl peptidase IV DPP IV N-terminal region/Prolyl oligopeptidase family, putative	2559
LAMA_000016300	LAMA_000016300.1	hypothetical protein, conserved	1024
LAMA_000016400	LAMA_000016400.1	Dihydrofolate reductase/Thymidylate synthase, putative	1563
LAMA_000016500	LAMA_000016500.1	Conserved hypothetical protein 95/Ribosomal protein L11 methyltransferase PrmA/Methyltransferase small domain/Lysine methyltransferase, putative	1323
LAMA_000016600	LAMA_000016600.1	Acyl-CoA dehydrogenase, N-terminal domain/Acyl-CoA dehydrogenase, middle domain/Acyl-CoA dehydrogenase, C-terminal domain containing protein, putative	1251
LAMA_000016700	LAMA_000016700.1	Protein tyrosine kinase/Protein kinase domain containing protein, putative	2787
LAMA_000016800:pseudogene	LAMA_000016800.1	hypothetical protein, conserved	1623
LAMA_000016900	LAMA_000016900.1	3-5 exonuclease, putative	1644
LAMA_000017000	LAMA_000017000.1	hypothetical protein, conserved	4773
LAMA_000017100	LAMA_000017100.1	hypothetical protein	671
LAMA_000017200	LAMA_000017200.1	CCDC81 eukaryotic HU domain 1/CCDC81 eukaryotic HU domain 2, putative	795
LAMA_000017300	LAMA_000017300.1	hypothetical protein, conserved	796
LAMA_000017400	LAMA_000017400.1	hypothetical protein, conserved	2538
LAMA_000017500	LAMA_000017500.1	hypothetical protein, conserved	1167
LAMA_000017600	LAMA_000017600.1	hypothetical protein, conserved	1296
LAMA_000017700	LAMA_000017700.1	hypothetical protein, conserved	804
LAMA_000017800	LAMA_000017800.1	PIN domain of ribonuclease/Nin one binding NOB1 Zn-ribbon like, putative	1323
LAMA_000017900	LAMA_000017900.1	hypothetical protein, conserved	1212
LAMA_000018000	LAMA_000018000.1	hypothetical protein, conserved	1863
LAMA_000018100	LAMA_000018100.1	Casein kinase II regulatory subunit, putative	828
LAMA_000018200	LAMA_000018200.1	hypothetical protein, conserved	1854
LAMA_000018300:pseudogene	LAMA_000018300.1	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase/Hsp90 protein, putative	1980
LAMA_000018400	LAMA_000018400.1	Aminomethyltransferase folate-binding domain/Glycine cleavage T-protein C-terminal barrel domain containing protein, putative	1134
LAMA_000018500	LAMA_000018500.1	hypothetical protein, conserved	5238
LAMA_000018600	LAMA_000018600.1	hypothetical protein, conserved	1062
LAMA_000018700	LAMA_000018700.1	DUF1126 PH-like domain containing protein, putative	2322
LAMA_000018800	LAMA_000018800.1	PCRF domain/RF-1 domain containing protein, putative	1320
LAMA_000018900	LAMA_000018900.1	Protein of unknown function DUF1295/Phospholipid methyltransferase, putative	774
LAMA_000019000	LAMA_000019000.1	hypothetical protein, conserved	768
LAMA_000019100	LAMA_000019100.1	PRP38 family, putative	1986
LAMA_000019200	LAMA_000019200.1	NPL4 family, putative	1881
LAMA_000019300	LAMA_000019300.1	Cullin family, putative	3189
LAMA_000019400	LAMA_000019400.1	hypothetical protein, conserved	1533
LAMA_000019500	LAMA_000019500.1	hypothetical protein, conserved	867
LAMA_000019600	LAMA_000019600.1	hypothetical protein, conserved	2298
LAMA_000019700	LAMA_000019700:rRNA	unspecified product	1949
LAMA_000019800	LAMA_000019800.1	hypothetical protein, conserved	1092
LAMA_000019900	LAMA_000019900.1	NUC173 domain containing protein, putative	3879
LAMA_000020000	LAMA_000020000.1	Carboxypeptidase Taq M32 metallopeptidase, putative	1500
LAMA_000020100	LAMA_000020100.1	CBF/Mak21 family, putative	2595
LAMA_000020200	LAMA_000020200.1	PCI domain/Proteasome regulatory subunit C-terminal, putative	1005
LAMA_000020300	LAMA_000020300.1	hypothetical protein, conserved	2993
LAMA_000020400	LAMA_000020400.1	hypothetical protein, conserved	1035
LAMA_000020500	LAMA_000020500.1	hypothetical protein, conserved	2106
LAMA_000020600	LAMA_000020600.1	hypothetical protein, conserved	477
LAMA_000020700	LAMA_000020700.1	hypothetical protein, conserved	1413
LAMA_000020800	LAMA_000020800.1	hypothetical protein, conserved	2232
LAMA_000020900	LAMA_000020900.1	WD domain, G-beta repeat/WD40-like Beta Propeller Repeat, putative	2097
LAMA_000021000	LAMA_000021000.1	Microtubule binding/Kinesin motor domain containing protein, putative	3303
LAMA_000021100	LAMA_000021100.1	Domain of unknown function, putative	1173
LAMA_000021200	LAMA_000021200.1	Hsp70 protein, putative	1291
LAMA_000021300	LAMA_000021300.1	hypothetical protein	954
LAMA_000021400	LAMA_000021400.1	50S ribosome-binding GTPase, putative	1278
LAMA_000021500	LAMA_000021500.1	Phosphoglycerate kinase, putative	1241
LAMA_000021600	LAMA_000021600.1	hypothetical protein, conserved	459
LAMA_000021700	LAMA_000021700.1	hypothetical protein, conserved	681
LAMA_000021800	LAMA_000021800.1	Ribosomal protein L10/Insertion domain in 60S ribosomal protein L10P/60s Acidic ribosomal protein, putative	969
LAMA_000021900	LAMA_000021900.1	EF-1 guanine nucleotide exchange domain containing protein, putative	372
LAMA_000022000	LAMA_000022000.1	hypothetical protein, conserved	3468
LAMA_000022100	LAMA_000022100.1	hypothetical protein, conserved	2643
LAMA_000022200	LAMA_000022200.1	Nucleoplasmin-like domain containing protein, putative	357
LAMA_000022300	LAMA_000022300.1	Nucleoplasmin-like domain containing protein, putative	1005
LAMA_000022400	LAMA_000022400.1	ATP synthase alpha/beta family, beta-barrel domain/ATP synthase alpha/beta family, nucleotide-binding domain containing protein, putative	1578
LAMA_000022500	LAMA_000022500.1	hypothetical protein	785
LAMA_000022600	LAMA_000022600.1	hypothetical protein, conserved	570
LAMA_000022700	LAMA_000022700.1	Ribosomal protein L19e, putative	744
LAMA_000022800	LAMA_000022800.1	AAA domain containing protein, putative	750
LAMA_000022900	LAMA_000022900.1	Triose-phosphate Transporter family, putative	1023
LAMA_000023000	LAMA_000023000.1	hypothetical protein, conserved	2379
LAMA_000023100:pseudogene	LAMA_000023100.1	Adenylate kinase/mRNA capping enzyme, catalytic domain containing protein, putative	2049
LAMA_000023200	LAMA_000023200.1	hypothetical protein, conserved	3234
LAMA_000023300	LAMA_000023300.1	Iron-sulfur cluster assembly protein, putative	489
LAMA_000023400	LAMA_000023400.1	Vps23 core domain containing protein, putative	1230
LAMA_000023500:pseudogene	LAMA_000023500.1	hypothetical protein, conserved	3594
LAMA_000023600	LAMA_000023600.1	LYAR-type C2HC zinc finger containing protein, putative	951
LAMA_000023700	LAMA_000023700.1	RNA recognition motif. a.k.a. RRM, RBD, or RNP domain, putative	4158
LAMA_000023800	LAMA_000023800.1	hypothetical protein, conserved	738
LAMA_000023900	LAMA_000023900.1	lipin, N-terminal conserved region/LNS2 Lipin/Ned1/Smp2, putative	4186
LAMA_000024000	LAMA_000024000.1	Kinesin motor domain/Microtubule binding, putative	996
LAMA_000024100	LAMA_000024100.1	Ribosomal protein L13e, putative	663
LAMA_000024200	LAMA_000024200.1	hypothetical protein, conserved	255
LAMA_000024300	LAMA_000024300.1	Leucine Rich repeats 2 copies/Leucine rich repeat, putative	1893
LAMA_000024400	LAMA_000024400.1	hypothetical protein, conserved	1002
LAMA_000024500	LAMA_000024500.1	hypothetical protein, conserved	1170
LAMA_000024600	LAMA_000024600.1	Histidine phosphatase superfamily branch 2, putative	1338
LAMA_000024700	LAMA_000024700.1	hypothetical protein, conserved	2124
LAMA_000024800	LAMA_000024800.1	hypothetical protein, conserved	786
LAMA_000024900	LAMA_000024900.1	hypothetical protein, conserved	2232
LAMA_000025000	LAMA_000025000.1	Ribosomal protein S13/S18, putative	462
LAMA_000025100	LAMA_000025100.1	Protein of unknown function DUF2946, putative	963
LAMA_000025200	LAMA_000025200.1	hypothetical protein, conserved	453
LAMA_000025300:pseudogene	LAMA_000025300.1	Enoyl-CoA hydratase/isomerase, putative	897
LAMA_000025400	LAMA_000025400.1	hypothetical protein	784
LAMA_000025500	LAMA_000025500.1	Protein tyrosine kinase/Protein kinase domain containing protein, putative	1068
LAMA_000025600	LAMA_000025600.1	EF hand/EF-hand domain/EF-hand domain pair, putative	546
LAMA_000025700	LAMA_000025700.1	hypothetical protein, conserved	1005
LAMA_000025800	LAMA_000025800.1	hypothetical protein	873
LAMA_000025900	LAMA_000025900.1	Protein of unknown function DUF2946, putative	1005
LAMA_000026000	LAMA_000026000.1	Endonuclease/Exonuclease/phosphatase family, putative	1626
LAMA_000026100	LAMA_000026100.1	Kinesin motor domain/Microtubule binding, putative	2013
LAMA_000026200	LAMA_000026200.1	hypothetical protein, conserved	561
LAMA_000026300	LAMA_000026300.1	Biotin carboxylase, N-terminal domain/Carbamoyl-phosphate synthase L chain, ATP binding domain/ATP-grasp domain/D-ala D-ala ligase C-terminus/Biotin carboxylase C-terminal domain/Propionyl-coenzyme A carboxylase BT domain/Biotin-requiring enzyme, putative	1998
LAMA_000026400	LAMA_000026400.1	hypothetical protein, conserved	756
LAMA_000026500	LAMA_000026500.1	BSD domain containing protein, putative	1800
LAMA_000026600	LAMA_000026600.1	hypothetical protein, conserved	714
LAMA_000026700	LAMA_000026700.1	Thymidylate kinase, putative	825
LAMA_000026800	LAMA_000026800.1	Glycosyl transferase family 11, putative	945
LAMA_000026900	LAMA_000026900.1	Glutaredoxin, putative	588
LAMA_000027000	LAMA_000027000.1	hypothetical protein, conserved	1209
LAMA_000027100	LAMA_000027100.1	hypothetical protein, conserved	1104
LAMA_000027200	LAMA_000027200.1	N-terminal of Par3 and HAL proteins, putative	249
LAMA_000027300	LAMA_000027300.1	hypothetical protein, conserved	351
LAMA_000027400	LAMA_000027400.1	LSM domain containing protein, putative	243
LAMA_000027500	LAMA_000027500.1	hypothetical protein, conserved	1347
LAMA_000027600	LAMA_000027600.1	Voltage gated chloride channel, putative	2313
LAMA_000027700	LAMA_000027700.1	hypothetical protein, conserved	591
LAMA_000027800:pseudogene	LAMA_000027800.1	Low molecular weight phosphotyrosine protein phosphatase, putative	882
LAMA_000027900	LAMA_000027900.1	CUE domain/Domain of unknown function DUF1771/Smr domain containing protein, putative	2694
LAMA_000028000	LAMA_000028000.1	RNA pseudouridylate synthase, putative	1245
LAMA_000028100	LAMA_000028100.1	Thioredoxin, putative	324
LAMA_000028200	LAMA_000028200.1	Calmodulin-binding, putative	840
LAMA_000028300	LAMA_000028300.1	Right handed beta helix region/Periplasmic copper-binding protein NosD, putative	2400
LAMA_000028400	LAMA_000028400.1	Cytochrome c oxidase biogenesis protein Cmc1 like, putative	519
LAMA_000028500	LAMA_000028500.1	4F5 protein family, putative	180
LAMA_000028600	LAMA_000028600.1	DHH family/DHHA2 domain containing protein, putative	778
LAMA_000028700	LAMA_000028700.1	hypothetical protein, conserved	432
LAMA_000028800	LAMA_000028800.1	WD domain, G-beta repeat, putative	924
LAMA_000028900	LAMA_000028900.1	hypothetical protein, conserved	633
LAMA_000029000	LAMA_000029000.1	Mitochondrial pyruvate carriers, putative	294
LAMA_000029100	LAMA_000029100.1	hypothetical protein, conserved	777
LAMA_000029200	LAMA_000029200.1	hypothetical protein, conserved	2241
LAMA_000029300	LAMA_000029300.1	hypothetical protein, conserved	582
LAMA_000029400	LAMA_000029400.1	SRP-independent targeting protein 2/TMEM208, putative	567
LAMA_000029500	LAMA_000029500.1	Dyggve-Melchior-Clausen syndrome protein, putative	1673
LAMA_000029600	LAMA_000029600.1	Dyggve-Melchior-Clausen syndrome protein, putative	730
LAMA_000029700	LAMA_000029700.1	hypothetical protein, conserved	1361
LAMA_000029800	LAMA_000029800.1	hypothetical protein, conserved	1117
LAMA_000029900	LAMA_000029900.1	hypothetical protein, conserved	1662
LAMA_000030000	LAMA_000030000.1	Ribosomal protein S7e, putative	603
LAMA_000030100	LAMA_000030100.1	Isochorismatase family, putative	642
LAMA_000030200	LAMA_000030200.1	AMP-binding enzyme, putative	2091
LAMA_000030300	LAMA_000030300.1	Beta-eliminating lyase/Aminotransferase class-V/Aminotransferase class I and II, putative	1116
LAMA_000030400:pseudogene	LAMA_000030400.1	AMP-binding enzyme, putative	2011
LAMA_000030500	LAMA_000030500.1	hypothetical protein, conserved	2076
LAMA_000030600	LAMA_000030600.1	hypothetical protein, conserved	1131
LAMA_000030700	LAMA_000030700.1	pre-mRNA processing factor 3 PRP3/Protein of unknown function DUF1115, putative	1492
LAMA_000030800	LAMA_000030800.1	Tricarboxylate carrier, putative	981
LAMA_000030900	LAMA_000030900.1	hypothetical protein	728
LAMA_000031000:pseudogene	LAMA_000031000.1	hypothetical protein, conserved	1923
LAMA_000031100:pseudogene	LAMA_000031100.1	RNA ligase, putative	1203
LAMA_000031200	LAMA_000031200.1	hypothetical protein, conserved	1056
LAMA_000031300	LAMA_000031300.1	Rab-GTPase-TBC domain containing protein, putative	1221
LAMA_000031400	LAMA_000031400.1	hypothetical protein	639
LAMA_000031500	LAMA_000031500.1	Aspartyl protease/gag-polyprotein putative aspartyl protease, putative	1145
LAMA_000031600:pseudogene	LAMA_000031600.1	hypothetical protein, conserved	1697
LAMA_000031700	LAMA_000031700.1	hypothetical protein, conserved	1959
LAMA_000031800	LAMA_000031800.1	Hsp70 protein, putative	3369
LAMA_000031900	LAMA_000031900.1	Insulinase Peptidase family M16/Peptidase M16 inactive domain containing protein, putative	1485
LAMA_000032000	LAMA_000032000.1	hypothetical protein	710
LAMA_000032100	LAMA_000032100.1	hypothetical protein, conserved	2478
LAMA_000032200	LAMA_000032200.1	hypothetical protein, conserved	639
LAMA_000032300	LAMA_000032300.1	hypothetical protein	246
LAMA_000032400	LAMA_000032400.1	hypothetical protein, conserved	2412
LAMA_000032500	LAMA_000032500.1	AMP-binding enzyme, putative	2124
LAMA_000032600	LAMA_000032600.1	PLAC8 family, putative	690
LAMA_000032700	LAMA_000032700.1	hypothetical protein, conserved	762
LAMA_000032800	LAMA_000032800.1	ThiF family, putative	1578
LAMA_000032900:pseudogene	LAMA_000032900.1	hypothetical protein, conserved	4690
LAMA_000033000	LAMA_000033000.1	hypothetical protein, conserved	743
LAMA_000033100	LAMA_000033100.1	hypothetical protein	302
LAMA_000033200	LAMA_000033200.1	hypothetical protein	380
LAMA_000033300	LAMA_000033300.1	C2 domain containing protein, putative	2956
LAMA_000033400	LAMA_000033400.1	hypothetical protein, conserved	2233
LAMA_000033500	LAMA_000033500.1	Protein kinase domain containing protein, putative	4455
LAMA_000033600	LAMA_000033600.1	hypothetical protein, conserved	1011
LAMA_000033700	LAMA_000033700.1	DEAD/DEAH box helicase/Helicase conserved C-terminal domain containing protein, putative	1212
LAMA_000033800	LAMA_000033800.1	hypothetical protein, conserved	1552
LAMA_000033900	LAMA_000033900.1	hypothetical protein, conserved	1416
LAMA_000034000	LAMA_000034000.1	Ion channel/Calcium-activated BK potassium channel alpha subunit, putative	3096
LAMA_000034200:pseudogene	LAMA_000034200.1	Peptidase family M3, putative	751
LAMA_000034300:pseudogene	LAMA_000034300.1	Creatinase/Prolidase N-terminal domain/Metallopeptidase family M24/C-terminal region of peptidase_M24, putative	1821
LAMA_000034400	LAMA_000034400.1	Cytochrome b5-like Heme/Steroid binding domain containing protein, putative	642
LAMA_000034500:pseudogene	LAMA_000034500.1	hypothetical protein, conserved	644
LAMA_000034600	LAMA_000034600.1	hypothetical protein, conserved	1194
LAMA_000034700	LAMA_000034700.1	hypothetical protein, conserved	2994
LAMA_000034800	LAMA_000034800.1	hypothetical protein, conserved	993
LAMA_000034900	LAMA_000034900.1	hypothetical protein, conserved	1065
LAMA_000035000	LAMA_000035000.1	hypothetical protein, conserved	903
LAMA_000035100	LAMA_000035100.1	Exportin 1-like protein, putative	3504
LAMA_000035200	LAMA_000035200.1	Phosphatidylinositol 3- and 4-kinase, putative	14772
LAMA_000035300	LAMA_000035300.1	Pre-mRNA-splicing factor SF3a complex subunit 2 Prp11, putative	702
LAMA_000035400	LAMA_000035400.1	Ankyrin repeats 3 copies/Zinc finger, C3HC4 type RING finger containing protein, putative	2682
LAMA_000035500	LAMA_000035500.1	Vps51/Vps67, putative	5794
LAMA_000035600	LAMA_000035600.1	hypothetical protein, conserved	616
LAMA_000035700	LAMA_000035700.1	hypothetical protein	543
LAMA_000035800	LAMA_000035800.1	hypothetical protein, conserved	3006
LAMA_000035900	LAMA_000035900.1	Glycosyltransferase GlcNAc, putative	2688
LAMA_000036000:pseudogene	LAMA_000036000.1	hypothetical protein	1565
LAMA_000036100	LAMA_000036100.1	hypothetical protein	426
LAMA_000036200	LAMA_000036200.1	hypothetical protein, conserved	3288
LAMA_000036300	LAMA_000036300.1	ADP-ribosylation factor family/Ras of Complex, Roc, domain of DAPkinase/Gtr1/RagA G protein conserved region/Ras family, putative	825
LAMA_000036400	LAMA_000036400.1	hypothetical protein, conserved	195
LAMA_000036500	LAMA_000036500.1	hypothetical protein, conserved	471
LAMA_000036600	LAMA_000036600.1	Protein kinase domain/Protein tyrosine kinase/Fungal protein kinase/Kinase-like, putative	1623
LAMA_000036700	LAMA_000036700.1	26S proteasome regulatory subunit RPN6 N-terminal domain/PCI domain containing protein, putative	1590
LAMA_000036800	LAMA_000036800.1	FtsJ-like methyltransferase, putative	1332
LAMA_000036900	LAMA_000036900.1	Ubiquitin-conjugating enzyme, putative	462
LAMA_000037000	LAMA_000037000.1	hypothetical protein, conserved	165
LAMA_000037100	LAMA_000037100.1	hypothetical protein, conserved	2142
LAMA_000037200	LAMA_000037200.1	hypothetical protein, conserved	1092
LAMA_000037300	LAMA_000037300.1	hypothetical protein	313
LAMA_000037400	LAMA_000037400.1	hypothetical protein, conserved	1267
LAMA_000037500	LAMA_000037500.1	hypothetical protein, conserved	1113
LAMA_000037600:pseudogene	LAMA_000037600.1	hypothetical protein, conserved	2325
LAMA_000037700	LAMA_000037700.1	hypothetical protein, conserved	834
LAMA_000037800	LAMA_000037800.1	hypothetical protein, conserved	876
LAMA_000037900	LAMA_000037900.1	hypothetical protein, conserved	8793
LAMA_000038000	LAMA_000038000.1	hypothetical protein, conserved	606
LAMA_000038100	LAMA_000038100.1	hypothetical protein, conserved	2160
LAMA_000038200	LAMA_000038200.1	Glycerate kinase family, putative	2754
